query,expected_title,expected_url,google_result_title,google_result_url
How do I find a patient in the list?,Finding a patient using Smart Find,https://raintree.rightanswers.com/portal/app/portlets/results/viewsolution.jsp?solutionid=250804180242893&page=1&position=0&q=How%20do%20I%20find%20a%20patient%20in%20the%20list%3F,Attracting New Patients in Outpatient Therapy in 2024,https://www.raintreeinc.com/blog/attracting-new-patients-in-pt-ot-slp-aba/
,,,3 Tactics for Self-Service Patient Engagement,https://www.raintreeinc.com/blog/self-service-patient-engagement-tactics/
,,,5 Pro Tips to Increase Patient Referrals to Your PT Practice,https://www.raintreeinc.com/blog/how-to-increase-patient-referrals/
,,,5 Reasons for Practices to Share Patient Health Information,https://www.raintreeinc.com/blog/patient-health-information-exchange/
,,,How to Manage Patient Expectations: Why Reviews Matter,https://www.raintreeinc.com/blog/why-reviews-matter/
,,,Redefining Care: Telehealth and Patient Engagement,https://www.raintreeinc.com/blog/redefining-patient-engagement-telehealth/
,,,5 Steps to Easy RCM for Rehabilitation Therapy: Quick Guide,https://www.raintreeinc.com/blog/a-patient-provider-guide-to-easy-rcm/
,,,How to Automate Your Clinical Workflow: 8 Improvements ...,https://www.raintreeinc.com/blog/automate-your-clinical-workflow-front-desk-back-office/
,,,How to Improve Patient Payments in 2024: Ledger Strategies,https://www.raintreeinc.com/blog/new-ledger-strategies/
,,,Generational Trends in Patient Engagement,https://www.raintreeinc.com/blog/generational-trends-in-patient-engagement/
How do I transfer activities to charges?,Initial Evaluation: Documenting time and service-based activities in a note,https://raintree.rightanswers.com/portal/app/portlets/results/viewsolution.jsp?solutionid=250715125742303&page=-1&position=0,How to Improve Patient Payments in 2024: Ledger Strategies,https://www.raintreeinc.com/blog/new-ledger-strategies/
,,,Raintree | Physical Therapy EMR for Fast-Growing Practices,https://www.raintreeinc.com/
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
How do I transfer to charges?,Initial Evaluation: Documenting time and service-based activities in a note,https://raintree.rightanswers.com/portal/app/portlets/results/viewsolution.jsp?solutionid=250715125742303&page=-1&position=0,How to Improve Patient Payments in 2024: Ledger Strategies,https://www.raintreeinc.com/blog/new-ledger-strategies/
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
How do I transfer charges?,Posting a transfer,https://raintree.rightanswers.com/portal/app/portlets/results/viewsolution.jsp?solutionid=250317143954540,How to Improve Patient Payments in 2024: Ledger Strategies,https://www.raintreeinc.com/blog/new-ledger-strategies/
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
How do I register a new patient?,Intake a patient and schedule the first visit,https://raintree.rightanswers.com/portal/app/portlets/results/viewsolution.jsp?solutionid=250627145655180&page=1&position=0&q=Intake%20a%20patient%20and%20schedule%20the%20first%20visit,Webinars | Register Now | Hosted by Raintree Systems,https://www.raintreeinc.com/webinar/
,,,Connect with Raintree Systems | Events and Conferences,https://www.raintreeinc.com/events/
