Source,FromOffset,Title,Description,Document URL
Alteryx knowledge,0,Why am I not receiving a one-time passcode for Alteryx One,This article explains why users may not receive a one-time passcode OTP when attempting to sign in to the Alteryx One Platform and clarifies the requirement to be invited to a workspace before logging in,https://knowledge.alteryx.com/index/s/article/why-am-i-not-receiving-a-one-time-passcode-for-alteryx-one
Alteryx knowledge,6,Error A file must be specified or set up a connection to use the tool,,https://knowledge.alteryx.com/index/s/article/Error-A-file-must-be-specified
Alteryx knowledge,7,Alteryx for Excel Users How to do a VLOOKUP in Alteryx,In this example we have two worksheets in one Excel file Sheet 1 contains a master list of sales d,https://knowledge.alteryx.com/index/s/article/Alteryx-for-Excel-Users-How-to-do-a-VLOOKUP-in-Alteryx-1583460632739
Alteryx knowledge,9,How to export a HAR file to investigate issues of Connector tools,,https://knowledge.alteryx.com/index/s/article/How-to-export-a-HAR-file-to-investigate-issues-of-Connector-tools
Alteryx Community,0,Re Challenge 259 Disenvowel,solution for 259,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-259-Disenvowel/m-p/1428245#M153932
Alteryx Community,1,Re Cloud Quest 50 Postal Code Madness,Solved Spoiler Highlight to read,https://community.alteryx.com/t5/Cloud-Quests/Cloud-Quest-50-Postal-Code-Madness/m-p/1428243#M1356
Alteryx Community,4,Re Challenge 499 Where is Waldo,My solution Spoiler Highlight to read,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-499-Where-is-Waldo/m-p/1428234#M153931
Alteryx Community,8,Re Creating a new folder using text boxes and action tools,Hi kristinfreitas could you check if Alteryx and the CMD tool have write access to your destination folder Sometimes the company's IT policy will block those write accesses or the access to run the system's CMD This might be the reason In addi,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/Creating-a-new-folder-using-text-boxes-and-action-tools/m-p/1428223#M353121
Alteryx Community,9,Re Cannot Download Alteryx,Hi hamzanaeem if you want to download the free Alteryx trial you would use the email with the business domain The free Gmail domain normally doesn't work For weekly challenges you can find them here https community alteryx com t5 Weekly-Cha,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/Cannot-Download-Alteryx/m-p/1428221#M353120
Alteryx docs,0,IBM DB2,Connection TypeODBC and OLEDB 64-bit Driver DetailsThe ODBC or OLEDB driver can be downloaded from,https://help.alteryx.com/current/en/designer/data-sources/ibm-db2.html
Alteryx docs,1,Amazon Redshift,Connection TypeODBC 64-bit Type of SupportRead & Write In-DatabaseValidated OnDatabase Version 1,https://help.alteryx.com/current/en/designer/data-sources/amazon-redshift.html
Alteryx docs,2,User Roles and Permissions,User roles are set by Curators Server admins in the Server Admin interface User roles determine t,https://help.alteryx.com/current/en/server/administer-alteryx-server/user-and-group-management/user-roles-and-permissions.html
Alteryx docs,3,SQL DB Advanced Connection Strings,Skip to main contentToggle navigationRelease NotesKnowledgeAcademyCommunityMy AlteryxSelect version2,https://help.alteryx.com/current/en/server/configure/database-management/sql-db-management/sql-db-advanced-connection-strings.html
Alteryx docs,4,Mongo to SQL Migration Guide,Skip to main contentToggle navigationRelease NotesKnowledgeAcademyCommunityMy AlteryxSelect version2,https://help.alteryx.com/current/en/server/configure/database-management/sql-db-management/mongo-to-sql-migration-guide.html
