Query_ID,Generated_Query,Original_Title,Original_URL,Result_Rank,Result_Title,Result_URL,Result_Description,Search_Score,Is_Original_Match,Is_Title_Match,Is_URL_Match
1,Alteryx One one-time passcode not received troubleshooting,Why am I not receiving a one-time passcode for Alteryx One,https://knowledge.alteryx.com/index/s/article/why-am-i-not-receiving-a-one-time-passcode-for-alteryx-one,1,Why am I not receiving a one-time passcode for Alteryx One,https://knowledge.alteryx.com/index/s/article/why-am-i-not-receiving-a-one-time-passcode-for-alteryx-one,This article explains why users may not receive a one - time passcode OTP when attempting to sign in to the Alteryx One Platform and clarifies the requirement to be invited to a workspace before logging in,2.204402,YES,YES,YES
,,,,2,Getting Started for Workspace Users,https://help.alteryx.com/aac/en/platform/getting-started-with-alteryx-one/getting-started-for-workspace-users.html,Select Accept Invitation from your invitation email to go to your workspace From the Alteryx One sign-in page follow the instructions on the screen to sign in to your workspace Passcode VerificationAlteryx One sends a one - time passcode to your email to verify your identity when you sign in for the first time Ready to start using your workspace in Alteryx One Platform,1.6353858,NO,NO,NO
,,,,3,My Alteryx - Single Sign-On FAQ,https://community.alteryx.com/t5/Alteryx-Community-Resources/My-Alteryx-Single-Sign-On-FAQ/ta-p/731570,My Alteryx Single Sign-On SSO is our single sign-on tool that allows you to access all your Alteryx applications using one set of credentials Applications include but are not limited to Community MyAlteryx Support Licensing & Downloads and more,1.609931,NO,NO,NO
,,,,4,License Key Registeration,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/License-Key-Registeration/td-p/1419700,After Installing Alteryx Designer I am not able to activate since on selecting Launch Browser on Activation Window and entering my email id I am not getting ONE TIME PASSCODE I tried several times but no luck Please help,1.5979179,NO,NO,NO
,,,,5,Get Started with Alteryx One Platform,https://help.alteryx.com/aac/en/platform/getting-started-with-alteryx-one.html,successful cloud activation Allowlist the Alteryx One Email DomainAllowlist these Alteryx One email domains to guarantee that users receive email notifications mail alteryxcloud com myalteryx alteryx com mail my alteryx comAllowlist the IP Address Range of the Alteryx ServiceBefore you begin creatingSign in to your workspace to access Alteryx One,1.5930117,NO,NO,NO
,,,,6,Alteryx Digital Badge Program,https://community.alteryx.com/t5/Analytics/Alteryx-Digital-Badge-Program/ba-p/831463,We recognize the dedication and time you put into earning your Alteryx credential If you have a valid certification they are valid for two years you will receive an email from admin credly com asking you to accept your badge on Credly If you are not yet Alteryx certified or if your certification has expired visit the Alteryx Product Certification Program page and start preparing to take the exam that best fits your level of knowle,1.5876037,NO,NO,NO
,,,,7,Notification Settings,https://help.alteryx.com/aac/en/platform/profile/preferences-page/notification-settings.html,You might change your delivery email address if Your login email address can't receive email You want to deliver an email notification to an alias within your enterprise You want to deliver your email notification to a 3rd-party application TimezoneSelect the timezone from the dropdown that Alteryx One,1.5850846,NO,NO,NO
,,,,8,Get Started with Alteryx One APIs,https://help.alteryx.com/aac/en/developer-help/get-started-with-alteryx-one-apis.html,If the above command executed successfully your new users will receive emails inviting them to join Alteryx One In this section Get Started with Alteryx One APIsWhy Use APIsAPI OverviewA Simple Example Using APIsSearch resultsNo results foundPrevNext 2025 Alteryx Inc Publication date Say you want to invite a list of users to use Alteryx One,1.5838484,NO,NO,NO
,,,,9,Alteryx server - Connected host has failed to respond 10060,https://community.alteryx.com/t5/Alteryx-Server-Discussions/Alteryx-server-Connected-host-has-failed-to-respond-10060/td-p/1209842,App AlteryxService message Worker FR20WALXBIP07 37a2598a There was an error in WorkerThread DoWork Error receiving data A connection attempt failed because the connected party did not properly respond after a period of time or established connection failed because connectedError 2023-11-07 20 50 56 543000 ERROR 5416 AlteryxService FR20WALXBIP07 37a2598a a25819b9ac444c20848a04d7a65a6648 634422bc68c02d068c7a218d S Alteryx Servic,1.5795993,NO,NO,NO
,,,,10,Using the Alteryx API from Alteryx,https://community.alteryx.com/t5/Engine-Works/Using-the-Alteryx-API-from-Alteryx/ba-p/318565,&oauth_signature_method HMAC-SHA1 This is the hashing methodology that the Alteryx API employs &oauth_timestamp 1540927739 This is Unix- Time One possible issue is that you need it to be UTC GMT I need to submit one API request to get a list of all the workflows parse and cleanse the data and then submit an API request for each app from the first response in order to download the yxzp,1.5725955,NO,NO,NO
2,Alteryx VLOOKUP function Excel users guide,Alteryx for Excel Users How to do a VLOOKUP in Alteryx,https://knowledge.alteryx.com/index/s/article/Alteryx-for-Excel-Users-How-to-do-a-VLOOKUP-in-Alteryx-1583460632739,1,Alteryx for Excel Users How to do a VLOOKUP in Alteryx,https://knowledge.alteryx.com/index/s/article/Alteryx-for-Excel-Users-How-to-do-a-VLOOKUP-in-Alteryx-1583460632739,In this example we have two worksheets in one Excel file Sheet 1 contains a master list of sales d,2.2661414,YES,YES,YES
,,,,2,How can I combine 2 Excel files with Vlookup function in Alteryx,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/How-can-I-combine-2-Excel-files-with-Vlookup-function-in-Alteryx/td-p/1379390,How can I combine 2 Excel files with Vlookup function in Alteryx,2.1707835,NO,NO,NO
,,,,3,Re How can I combine 2 Excel files with Vlookup function in Alteryx,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/How-can-I-combine-2-Excel-files-with-Vlookup-function-in-Alteryx/m-p/1379403#M341951,I am not sure of the question you are asking - the link above shows you the two best way to replicate VLOOKUP functionality in Alteryx There is not a formula used Here's another article Alteryx for Excel Users How to do a VLOOKUP in Alteryx,2.1615996,NO,NO,NO
,,,,4,Re How can I combine 2 Excel files with Vlookup function in Alteryx,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/How-can-I-combine-2-Excel-files-with-Vlookup-function-in-Alteryx/m-p/1379699#M342028,This is now a different question so can you close out of this thread by accepting it and start a new discussion I would also encourage you to look for the answer in the community here - the Learning Paths and the Interactive Lessons have this answe,2.1434593,NO,NO,NO
,,,,5,Re How can I combine 2 Excel files with Vlookup function in Alteryx,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/How-can-I-combine-2-Excel-files-with-Vlookup-function-in-Alteryx/m-p/1379816#M342058,Thanks for your advice,2.1355438,NO,NO,NO
,,,,6,Re How can I combine 2 Excel files with Vlookup function in Alteryx,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/How-can-I-combine-2-Excel-files-with-Vlookup-function-in-Alteryx/m-p/1379696#M342026,How can I perform the sum function in columns and rows of Excel in Alteryx,2.1324694,NO,NO,NO
,,,,7,Re How can I combine 2 Excel files with Vlookup function in Alteryx,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/How-can-I-combine-2-Excel-files-with-Vlookup-function-in-Alteryx/m-p/1379392#M341947,VLookUps with Designer - Alteryx Community,2.130582,NO,NO,NO
,,,,8,The Guide to Alteryx for Excel Users,https://knowledge.alteryx.com/index/s/article/The-Guide-to-Alteryx-for-Excel-Users-1583460179990,,2.0788999,NO,NO,NO
,,,,9,Excel Formula to Alteryx,https://community.alteryx.com/t5/Alteryx-Designer-Desktop-Discussions/Excel-Formula-to-Alteryx/td-p/1135407,Hello Please help me to convert Excel VLOOKUP formula to ALTERYX Formula VLOOKUP F2 P_M A 1 O 50 2 FALSE Over here the Column name PC having this formula P_M is another sheet in the Excel file F column name is PCN for F2 I need to make PC column in another sheet with applied Formula VLOOKUP F2 P_M A 1 O 50 2 FALSE in Alteryx,1.7275866,NO,NO,NO
,,,,10,Excel Vlookup,https://community.alteryx.com/t5/Bengaluru-IN/Excel-Vlookup/td-p/143839,I want to do Excel Vlookup but result i am getting from Alteryx and manual vlookup is different I tried with using JOIN & Multi JOIN tools but still not getting expected output Can i pass the below formula directly to Alteryx vLookup Formula VLOOKUP B2 'Application User List',1.7155225,NO,NO,NO
3,disenvowel solution Challenge 259 troubleshooting guide,Re Challenge 259 Disenvowel,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-259-Disenvowel/m-p/1428245#M153932,1,Re Challenge 259 Disenvowel,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-259-Disenvowel/m-p/1365756#M143426,My solution attached,1.698114,NO,YES,NO
,,,,2,Re Challenge 259 Disenvowel,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-259-Disenvowel/m-p/1414128#M151875,My first solution is quite a kludge lol I knew there had to be a better way so I took a peek at a few other solutions and remembered that you can use regex in formulas The light bulb came on and I did a second much better solution Both are included here for honesty,1.6929861,NO,YES,NO
,,,,3,Re Challenge 259 Disenvowel,https://community.alteryx.com/t5/Weekly-Challenge/Challenge-259-Disenvowel/m-p/1157867#M114170,My Solution Spoiler Highlight to read,1.6859368,NO,YES,NO
,,,,4,Re Challenge 259 Disenvowel,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-259-Disenvowel/m-p/1383088#M146666,259 Appreciate the solution that didn't use RegEx,1.6739966,NO,YES,NO
,,,,5,Re Challenge 259 Disenvowel,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-259-Disenvowel/m-p/733772#M58286,Fun little RegEx challenge to start the week Here is my solution Spoiler Highlight to read REGEX_Replace Input Data B aeiouyAEIOUY REGEX_Replace Input Data B aeiouyAEIOUY,1.644222,NO,YES,NO
,,,,6,Challenge 259 Disenvowel,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-259-Disenvowel/td-p/733763,A solution to last week's challenge can be found here This week's challenge was submitted by MarqueeCrew based on this post - Thanks for your submission Be sure to check out the accompanying blog post In this challenge we need to create a workflow to remove vowels from text excluding vowels that are the first letter in a word Y is included as a vowel for this challenge,1.6430444,NO,YES,NO
,,,,7,Re Challenge 259 Disenvowel,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-259-Disenvowel/m-p/1374458#M144836,Definitely made my solution a little more difficult than necessary Was a little more difficult than I expected to solve Fun though Spoiler Highlight to read,1.6426692,NO,YES,NO
,,,,8,Weekly Challenge Index & Welcome Page 1,https://community.alteryx.com/t5/Weekly-Challenges/Weekly-Challenge-Index-amp-Welcome-Page-1/td-p/48275,Disenvowel Intermediate Parse Preparation Join Data Preparation Transform Core 260 Fuel Me Once Welcome to the Weekly Challenges Each week we will post a use case where you can put your Alteryx skills to the test You'll be able to share your answers and collaborate with other challengers to arrive at an answer Interested in keeping track of which challenges you have completed Download this workflow created by Hannah_Lissaman Alekh and m,1.5489411,NO,NO,NO
,,,,9,Challenge 1 Join to Range,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-1-Join-to-Range/td-p/36621,The following week we will post a new challenge as well as an example solution to the previous week's challenge We hope you enjoy the exercises Almost weekly 40 times a year we share an Alteryx challenge with our internal Alteryx users and then we all develop our own solutions Later we review our solutions in small groups,1.5280983,NO,NO,NO
,,,,10,Outlook Input tool Created with the Alteryx SDK,https://community.alteryx.com/t5/Engine-Works/Outlook-Input-tool-Created-with-the-Alteryx-SDK/ba-p/72242,And yet many if not all of us at some point have tried to gain access to data within our own organizations only to be met with the solution of we can email you an Excel file Really,1.5230305,NO,NO,NO
4,Cloud Quest postal code issue highlight feature,Re Cloud Quest 50 Postal Code Madness,https://community.alteryx.com/t5/Cloud-Quests/Cloud-Quest-50-Postal-Code-Madness/m-p/1428243#M1356,1,Cloud Quest 50 Postal Code Madness,https://community.alteryx.com/t5/Cloud-Quests/Cloud-Quest-50-Postal-Code-Madness/td-p/1427950,Upload Start Cloud Quest 50 json file to your Alteryx One library All necessary datasets are contained within Text Input tools in the workflow For more detailed instructions on how to import and export Designer Cloud workflow files check out the pinned article Cloud Quest Submission Process Keep submitting every solution gets you closer to earning more Cloud Quest badges Here s to a successful quest,1.6404037,NO,YES,NO
,,,,2,Outlook Input tool Created with the Alteryx SDK,https://community.alteryx.com/t5/Engine-Works/Outlook-Input-tool-Created-with-the-Alteryx-SDK/ba-p/72242,I needed to incorporate the UpdateOnly parameter because the C code was executing every time a new tool was added to the canvas I didn't know that the Alteryx Engine had a special feature where it runs the workflow with no actual records other than metadata every time a new tool is added My biggest obstacle was interpreting the sample code - figuring out how to separate the xml config as input from the xml config that was reading the input I know this is,1.5741736,NO,NO,NO
,,,,3,Challenge 1 Join to Range,https://community.alteryx.com/t5/Weekly-Challenges/Challenge-1-Join-to-Range/td-p/36621,Exercise 1 Join to Range A company in Australia has source data which is made up of a series of postal codes eg 2000 2001 2002 etc amongst some other data fields,1.5471698,NO,NO,NO
,,,,4,Release Notes for Designer Cloud,https://help.alteryx.com/aac/en/release-notes/release-notes-for-designer-cloud.html,a value in the Results Grid a suggestion appears to either keep or delete the highlighted rows Brushing - Replace suggestions When you highlight a value in the Results Grid a suggestion appears to replace the highlighted values Workflow ImprovementsWhen you run a workflow in Designer Cloud you have,1.5415311,NO,NO,NO
,,,,5,Find Bad Data,https://help.alteryx.com/aac/en/trifacta-classic/common-tasks/validation-tasks/find-bad-data.html,Using the previous example mismatched postal codes are replaced by the corresponding value in the parent entity's postal code column parent_postal_code Transformation NameEdit column with formulaParameter Columnsparent_postal_codeParameter FormulaIF ISMISMATCHED postal_code 'Zipcode' '00000'Rows containing this value are highlighted,1.5407299,NO,NO,NO
,,,,6,Customer-Managed Telemetry A Window into Workflow Transparency,https://community.alteryx.com/t5/Engine-Works/Customer-Managed-Telemetry-A-Window-into-Workflow-Transparency/ba-p/1081472,In that case it may be useful to specify a cloud directory This way the file is copied over once the user connects again to the network What Should I Consider A new Enterprise Utility that features Customer Managed Telemetry is now available This utility lets you process the telemetry data you've collected using this new telemetry feature in Designer into usable data Alteryx server also provides great built-in versioning features Alteryx Desi,1.5173618,NO,NO,NO
